epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42835,0.63001,2.57918,1.03533,0.00333,1,0.3948,0.28365,0.75222,2.94188,1.79776,0.00028,0.00028,0.00028
2,7.32986,0.71253,1.87154,1.13335,0.00333,1,0.65958,0.4131,1.20635,2.93317,2.27041,0.000568516,0.000568516,0.000568516
3,9.82242,0.72638,1.4755,1.07541,0.68603,0.44648,0.59151,0.38311,0.84371,2.63913,1.69056,0.000845152,0.000845152,0.000845152
4,12.2095,0.7446,1.26786,1.08737,0.56324,0.6,0.40566,0.21778,1.43077,3.10209,3.20204,0.00110991,0.00110991,0.00110991
5,14.5202,0.74252,1.29757,1.16588,1,0.38358,0.5395,0.1007,1.87516,3.7876,4.15084,0.00136278,0.00136278,0.00136278
6,16.7912,0.74558,1.30528,1.07583,0.35668,0.77815,0.29078,0.08375,1.70524,3.78388,3.61444,0.00160378,0.00160378,0.00160378
7,19.1388,0.77109,1.22789,1.10734,0.28949,0.8,0.24633,0.14616,1.48881,3.57842,3.90136,0.0017624,0.0017624,0.0017624
8,21.4129,0.73807,1.14532,1.06363,0.23641,0.8,0.27639,0.10158,1.58691,3.01784,2.62962,0.0017228,0.0017228,0.0017228
9,23.7946,0.70232,1.21626,1.07902,0.47725,1,0.695,0.43532,1.4687,3.37981,2.62061,0.0016832,0.0016832,0.0016832
10,26.1956,0.66396,1.08959,1.04137,0.71044,0.98386,0.82357,0.4093,1.55831,2.32094,2.83814,0.0016436,0.0016436,0.0016436
11,28.487,0.67201,1.05012,1.03141,0.99552,0.8,0.93786,0.64281,0.99936,2.16845,1.59589,0.001604,0.001604,0.001604
12,30.8083,0.69318,1.0051,1.06765,0.78535,0.8,0.77881,0.60025,1.08583,1.76166,1.94694,0.0015644,0.0015644,0.0015644
13,33.1991,0.69951,0.9624,1.06017,0.8826,0.6,0.7575,0.59502,0.90374,2.33465,1.53572,0.0015248,0.0015248,0.0015248
14,35.5002,0.63078,0.88255,1.03304,0.93057,0.6,0.77179,0.52832,1.08398,2.24562,2.05046,0.0014852,0.0014852,0.0014852
15,37.9316,0.68999,0.94539,1.05645,0.96256,0.6,0.83944,0.55111,1.22066,1.77679,1.82078,0.0014456,0.0014456,0.0014456
16,40.3626,0.62642,0.87854,1.02191,0.97359,0.6,0.82833,0.61532,0.94399,1.59121,1.59739,0.001406,0.001406,0.001406
17,42.7347,0.64877,0.85331,1.00694,0.99158,1,0.995,0.77083,0.7953,1.10743,1.56573,0.0013664,0.0013664,0.0013664
18,45.1775,0.56832,0.79059,0.97979,0.80853,1,0.92833,0.75174,0.72976,1.23315,1.46283,0.0013268,0.0013268,0.0013268
19,47.604,0.58022,0.80842,0.99972,0.94083,0.6,0.69753,0.54726,1.04723,1.61113,1.68053,0.0012872,0.0012872,0.0012872
20,50.0301,0.61919,0.78684,1.03132,0.93102,0.6,0.72934,0.55855,0.92201,1.42953,1.56065,0.0012476,0.0012476,0.0012476
21,52.4516,0.62334,0.85399,1.07606,0.7822,0.8,0.75528,0.62111,0.98481,1.07207,1.62686,0.001208,0.001208,0.001208
22,54.8433,0.54402,0.81628,0.99995,0.79126,0.8,0.75528,0.64778,0.9458,1.08946,1.78125,0.0011684,0.0011684,0.0011684
23,57.2354,0.55167,0.73019,0.9697,0.74834,0.8,0.78833,0.61233,1.0212,1.26737,1.82485,0.0011288,0.0011288,0.0011288
24,59.7168,0.6082,0.76517,1.04687,1,0.79865,0.93786,0.62433,1.26976,1.09495,2.14651,0.0010892,0.0010892,0.0010892
25,62.1355,0.56882,0.69661,0.96154,0.91396,0.6,0.85333,0.63804,1.16599,1.53872,1.98356,0.0010496,0.0010496,0.0010496
26,64.5307,0.5748,0.70232,0.99739,0.6141,0.95932,0.85333,0.62048,1.16987,1.3351,2.46118,0.00101,0.00101,0.00101
27,66.8819,0.56382,0.68035,0.96305,0.81004,1,0.92833,0.65471,0.88413,1.09216,1.66213,0.0009704,0.0009704,0.0009704
28,69.2439,0.59856,0.70795,1.0304,1,0.78909,0.90611,0.70778,0.72746,1.09131,1.51926,0.0009308,0.0009308,0.0009308
29,71.7058,0.56461,0.74944,0.94797,0.99885,1,0.995,0.85111,0.64748,0.86721,1.34768,0.0008912,0.0008912,0.0008912
30,74.0976,0.52936,0.64386,0.96991,0.99197,1,0.995,0.87508,0.59936,0.85166,1.2666,0.0008516,0.0008516,0.0008516
31,76.5506,0.5318,0.64252,1.02384,1,0.99513,0.995,0.84711,0.67263,0.76949,1.31629,0.000812,0.000812,0.000812
